doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;sponsored;target;condition;sequence;commented_post;source
12;4/4/26 8:45:00;how those extra 5 minutes of sleep feels: like a full software update for your brain and suddenly you’re 12% less dramatic about literally everything today for absolutely no reason.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/sleep.jpeg;;84000;8600;45;Hashjenniiii;Jenni ;Funny first, facts later;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/profit%20pphotosu%20son.jpeg;57485;0;;Entertaining and Misleading;6;0;
13;4/4/26 8:45:00;Greenland is dominating headlines, diplomatic tensions over sovereignty and climate science are rising as melting ice reveals Cold War bases and raises sea level concerns.;"https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/greenland.jpeg
";;49789;6024;946;NewsAdress;News Adress;Breaking news and in-depth reporting on global events, updated daily.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/news%20site%20q%20logo.jpeg;205627;0;;Professional and Factual;1;0;
14;4/4/26 8:45:00;"A career insight I keep coming back to: Hard skills help you get noticed early on. But communication, ownership, and judgment are what actually move you forward.
The real shift happens when you stop waiting for instructions and start thinking like the person responsible for the outcome. ";;;3489;6;89;Danielbrooks;Daniel Brooks;"Sharing career lessons, work insights, and things I wish I knew earlier.
";https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/linkeldn%20picture.jpeg;11896;0;;Professional and Factual;2;0;
15;4/4/26 8:45:00;"“It actually works. I’ve tried everything for the cystic acne on my cheek, nothing helped. After just 4 days, the difference is incredible. I don’t fully understand the science… but I see the results.” Loved by customers of all ages for visible, confidence-boosting results 🤍
Meet the NŌVASKIN High-Frequency Wand
A modern skincare device designed to support clearer, healthier-looking skin, from the comfort of home.

✔ Helps reduce acne & prevent future breakouts 
✔ Speeds up the appearance of healing for scars & blemishes 
✔ Reduces puffiness & the look of dark circles 
✔ Minimizes the appearance of pores & blackheads";https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/factual%20ad%201.png;;8012;162;19;NŌVASKIN;NŌVASKIN;Free from what doesn’t serve you. Powered by frequency. Designed for real skin.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/brand%20logo%20for%20ad.png;53023;1;;Professional and Factual;3;0;
16;4/4/26 8:45:00;Researchers reported a newly discovered quantum state that bridges quantum criticality and topology, a development that could reshape future quantum tech and materials.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/picscience.jpeg;;24820;316;154;Phys.org;Phys ORG;Scientific News. Breakthroughs in Physics & Material Science;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/logo%20science.png;212460;0;;Professional and Factual;4;0;
17;4/4/26 8:45:00;"U.S. markets today:
S&P 500 slightly up as investors digest inflation data and Fed expectations.
Big tech remains the main driver while small caps lag behind. #finance 🎯";;;5890;128;89;Ethanmiller;ethanm_markets;"Tracking macro trends, and long-term investing ideas. Breaking down what’s moving stocks, and why it matters.
Not financial advice. Educational only.";https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/finance%20bro%20profile%20picture.jpeg;32760;0;;Professional and Factual;5;0;
18;4/4/26 8:45:00;NASA and global partners launched new satellites and space science missions this year, kickstarting 2026 with advances in exoplanet study, solar research, and deep space exploration.;"https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/nasa.jpg
";;67470;635;214;Yourspacenews;Space News;Tracking humanity’s reach beyond Earth. Space news, discoveries, and the future of exploration.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/space%20news%20logo.jpg;26790;0;;Professional and Factual;6;0;
19;4/4/26 8:45:00;Greenland is dominating headlines, diplomatic tensions over sovereignty and climate science are rising as melting ice reveals Cold War bases and raises sea level concerns.;"https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/greenland.jpeg
";;49789;6024;946;NewsAdress;News Adress;Breaking news and in-depth reporting on global events, updated daily.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/news%20site%20q%20logo.jpeg;205627;0;;Professional and Misleading;1;0;
20;4/4/26 8:45:00;"A career insight I keep coming back to: Hard skills help you get noticed early on. But communication, ownership, and judgment are what actually move you forward.
The real shift happens when you stop waiting for instructions and start thinking like the person responsible for the outcome. ";;;3489;6;89;Danielbrooks;Daniel Brooks;"Sharing career lessons, work insights, and things I wish I knew earlier.
";https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/linkeldn%20picture.jpeg;11896;0;;Professional and Misleading;2;0;
21;4/4/26 8:45:00;"“It actually works. I’ve tried everything for the cystic acne on my cheek, nothing helped. After just 4 days, the difference is incredible. I don’t fully understand the science… but I see the results.” Loved by customers of all ages for visible, confidence-boosting results 🤍
Meet the NŌVASKIN High-Frequency Wand
A modern skincare device designed to support clearer, healthier-looking skin, from the comfort of home.

✔ Helps reduce acne & prevent future breakouts 
✔ Speeds up the appearance of healing for scars & blemishes 
✔ Reduces puffiness & the look of dark circles 
✔ Minimizes the appearance of pores & blackheads";https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/false%20claim%201.png;;8012;162;19;NŌVASKIN;NŌVASKIN;Free from what doesn’t serve you. Powered by frequency. Designed for real skin.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/brand%20logo%20for%20ad.png;53023;1;;Professional and Misleading;3;0;
22;4/4/26 8:45:00;Researchers reported a newly discovered quantum state that bridges quantum criticality and topology, a development that could reshape future quantum tech and materials.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/picscience.jpeg;;24820;316;154;Phys.org;Phys ORG;Scientific News. Breakthroughs in Physics & Material Science;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/logo%20science.png;212460;0;;Professional and Misleading;4;0;
23;4/4/26 8:45:00;"U.S. markets today:
S&P 500 slightly up as investors digest inflation data and Fed expectations.
Big tech remains the main driver while small caps lag behind. #finance 🎯";;;5890;128;89;Ethanmiller;ethanm_markets;"Tracking macro trends, and long-term investing ideas. Breaking down what’s moving stocks, and why it matters.
Not financial advice. Educational only.";https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/finance%20bro%20profile%20picture.jpeg;32760;0;;Professional and Misleading;5;0;

24;4/4/26 8:45:00;NASA and global partners launched new satellites and space science missions this year, kickstarting 2026 with advances in exoplanet study, solar research, and deep space exploration.;"https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/nasa.jpg
";;67470;635;214;Yourspacenews;Space News;Tracking humanity’s reach beyond Earth. Space news, discoveries, and the future of exploration.;https://raw.githubusercontent.com/nilayyiigit/raw-pics/main/space%20news%20logo.jpg;26790;0;;Professional and Misleading;6;0;

